,Mw,Mw_log
D7-2,2340.11,7.758380454853454
D7-4,2197.08,7.695339531025517
D7-5,1981.64,7.5921845689223595
D7-6,2446.91,7.802989878250496
D8-1,3135.13,8.050744834692734
D8-2,2326.69,7.752631638472519
D8-4,2702.6,7.902339497226199
D8-5,1619.47,7.390471509605548
D9-1,2927.3,7.982177328849029
D9-2,2554.69,7.8460775248869306
D9-3,2248.98,7.718676606270071
D9-4,2586.67,7.8585131358985345
E1-1,2692.43,7.898570753292071
E1-2,2532.86,7.837499110736038
E1-3,3084.99,8.034627792477156
E10-2,1785.87,7.488220764891479
E10-4,863.29,6.7619083606349655
E11-1,1496.16,7.311325259135844
E11-3,1452.57,7.281777878454017
E11-4,1136.26,7.036377139552804
E12-2,1773.98,7.481544434240402
E13-1,1210.05,7.099243030892335
E13-2,1793.58,7.4925262902571115
E13-4,1134.5,7.034828361545613
E14-1,1365.39,7.219927504506354
E14-3,2372.26,7.772019816384128
E15-2,1801.91,7.497157305152108
E15-3,2283.77,7.7340206418069615
E15-4,1291.17,7.164078254634165
E16-1,1384.58,7.233874103523858
E16-2,1702.17,7.440246499520902
E16-3,3274.83,8.094326551074602
E17-1,927.11,6.833150260244302
E17-3,1985.61,7.594184947494551
E17-4,1141.99,7.041402914850152
E18-1,1354.07,7.211608392496048
E18-2,1903.38,7.551911775269838
E18-3,1031.82,6.9400482041783995
E18-4,1185.48,7.078746219433707
E2-1,1969.73,7.58615931146787
E2-2,1769.63,7.479090694442425
E2-3,1710.31,7.445014438077114
E3-1,6992.74,8.852770742211135
E3-2,5557.64,8.623108753007566
E3-3,6156.71,8.725460234163444
E4-1,1523.3,7.329290567267796
E4-2,2202.51,7.6978068225063705
E4-3,1991.67,7.597230726974642
E5-1,1684.75,7.4299658476146915
E5-2,1880.42,7.53978208986298
E6-1,1792.12,7.491712398303718
E7-2,1309.76,7.178362400643452
E7-4,832.23,6.725309714499547
E8-1,1332.35,7.195449851355794
E8-2,1266.9,7.1451172675339025
E8-3,1440.93,7.273737772977291
E8-4,1042.12,6.9499715011152166
E9-3,1318.83,7.185258219407758
E9-4,1029.0,6.937314081223682
F1-2,1466.29,7.291172440951323
F1-3,1368.71,7.222354317582928
F1-4,1208.58,7.09802847089704
F1-5,1277.58,7.153505366101731
F10-1,2086.54,7.643741618218074
F10-2,1242.85,7.125966687250784
F10-3,1065.03,6.971696746918913
F10-4,805.01,6.692096149377553
F10-5,885.96,6.787799885464096
F11-1,2645.66,7.881053746678211
F11-2,1709.47,7.444523465532489
F11-3,1245.08,7.12775790274378
F11-4,818.73,6.708975017744909
F12-1,2530.2,7.8364487775733345
F12-2,1361.5,7.217076526537399
F12-3,1297.68,7.169103642982063
F12-4,791.18,6.674788638719165
F12-5,850.81,6.747363497265235
F13-1,2112.3,7.656005985768107
F13-2,1554.41,7.349494455454526
F13-3,1269.98,7.14754353542442
F13-4,798.35,6.683798897410901
F13-5,772.97,6.651533113148629
F14-1,2419.12,7.791572404698208
F14-2,1081.33,6.986871403664056
F14-3,1013.73,6.922377846236775
F14-5,771.48,6.649606118469112
F15-1,1751.17,7.468610298752511
F15-2,1282.93,7.1576809656298375
F15-3,1010.61,6.91929840007712
F15-4,775.49,6.654783764205751
F15-5,788.14,6.670943744902507
F16-1,1507.5,7.3188710585991155
F16-2,2812.22,7.942085013750267
F16-3,892.41,6.795045602049913
F16-4,739.04,6.6067042387914015
F16-5,756.75,6.630353515937912
F17-1,1369.12,7.222653606227158
F17-2,1226.01,7.112335594636951
F17-3,960.19,6.868172100146106
F17-4,692.14,6.54123199898859
F17-5,726.83,6.59006750444395
F2-2,1409.72,7.251855491338717
F2-3,940.57,6.847548694775804
F2-4,855.72,6.753111144092619
F3-2,6070.43,8.711349441151285
F3-3,3722.84,8.222510672919713
F3-4,4570.25,8.427541969463592
F4-2,1171.79,7.067140804493034
F4-3,963.52,6.871630568263504
F4-4,1032.56,6.9407644325890825
F4-5,1187.24,7.080228499721278
F5-2,1510.55,7.320890893394521
F5-4,1005.77,6.914502465439379
F5-5,1179.2,7.073439194623068
F6-1,1521.39,7.3280367473844334
F6-2,957.13,6.864983468138228
F6-3,1093.83,6.998354379056343
F6-4,896.49,6.799601978239079
F7-1,1512.38,7.3221008388962385
F7-2,923.04,6.828755360747987
F7-3,1045.23,6.95294850573089
F7-4,843.49,6.738732894851517
F7-5,887.24,6.78924197674601
F9-1,1944.65,7.573351390454792
F9-4,820.15,6.71070579678357
G0-1,2915.07,7.97799209832739
G0-2,1535.93,7.337542199235367
G0-3,1945.06,7.573562094747515
G0-4,1942.07,7.57202447549123
G0-5,745.03,6.614765813872392
G1-1,972.09,6.880476575339008
G1-2,1352.94,7.210774139344131
G1-3,1257.99,7.138065091201048
G1-4,815.81,6.7054065096746305
G10-1,822.01,6.712968351271538
G10-2,1259.65,7.139382739944657
G10-3,592.16,6.3854641771068685
G10-4,546.71,6.305745949793529
G10-5,631.14,6.449110888602491
G11-1,729.88,6.594249287587536
G11-2,823.09,6.714279747246012
G11-3,539.7,6.292864596387959
G11-4,761.0,6.635946555686647
G11-5,649.19,6.47726462786842
G11-6,1210.48,7.0995980316597285
G12-1,720.95,6.581955884417228
G12-2,875.72,6.776187671155137
G12-3,678.59,6.521489675151553
G12-5,582.25,6.368615910901539
G12-6,1050.5,6.957972995142755
G13-1,727.66,6.591207230895688
G13-2,699.03,6.551123191267921
G13-4,719.41,6.579820494382582
G13-5,547.62,6.307406034273544
G13-6,1146.23,7.045105620131049
G14-2,905.49,6.809579998694456
G14-3,617.69,6.427604339484065
G14-5,588.43,6.379155968227818
G14-6,1179.68,7.073845822665675
G15-1,787.69,6.670373341231388
G2-1,809.04,6.697083629163248
G2-3,601.34,6.400822069931491
G2-4,840.95,6.735720630056318
G2-5,738.64,6.606163581338786
G2-6,1022.65,6.931129950298588
G3-1,6140.26,8.722785211814527
G3-3,4591.33,8.4321427995288
G3-4,8488.86,9.04662778918121
G3-5,2793.16,7.935286803746374
G3-6,5497.96,8.612314262431532
G4-1,828.37,6.720666376432279
G4-2,813.55,6.702635813512178
G4-3,584.23,6.372004932356937
G4-4,1290.97,7.163923464258722
G4-5,702.79,6.556480016204558
G4-6,1360.29,7.216188058572104
G5-1,757.76,6.631685521858522
G5-3,747.61,6.6182181536498765
G5-5,755.61,6.6288479291351114
G6-2,761.61,6.636746760371844
G6-4,943.4,6.850549805211358
G6-5,751.6,6.6235338781593365
G7-1,889.66,6.791962760930473
G7-2,897.71,6.800960401786131
G7-3,749.54,6.620792947454705
G7-4,844.93,6.740436613866104
G7-5,782.45,6.663707243550418
G7-6,1077.72,6.983530432045696
G8-1,995.3,6.90404841705081
G8-2,586.24,6.37543359487126
G8-3,433.82,6.074932152349245
G8-4,1038.62,6.94661054075081
G8-5,670.25,6.509141645823075
G9-1,1053.5,6.96082199991883
G9-2,644.09,6.469389841945407
G9-3,623.28,6.436598985674353
G9-4,867.99,6.767331617719319
G9-5,621.16,6.433197294386688
G9-6,1202.14,7.092690084930898
H0-1,2101.1,7.650692124044598
H0-2,621.91,6.43440204607248
H0-3,1226.78,7.1129629395627925
H1-1,907.8,6.8121250479668864
H1-2,987.83,6.8965224260490094
H1-3,641.84,6.465895859680869
H10-1,899.8,6.803283257385426
H10-2,638.0,6.459904454377535
H10-3,354.59,5.873778381759519
H11-1,895.1,6.798052013890174
H11-3,224.16,5.416811260595826
H12-2,660.5,6.494509983555011
H12-3,438.87,6.086479228711559
H13-2,657.8,6.490419998303485
H13-3,466.64,6.147698769138618
H14-1,845.7,6.741346440648232
H14-2,638.65,6.460921151763044
H14-3,435.65,6.079131958859742
H15-1,604.6,6.406219702123239
H15-2,677.0,6.519147287940395
H2-1,807.3,6.694933276739799
H2-2,744.82,6.6144842842261315
H3-1,4709.8,8.457613023967394
H3-2,4182.79,8.338972813280549
H3-3,6393.25,8.763154428010893
H4-1,952.8,6.860454005864124
H4-2,799.25,6.684924178849973
H4-3,631.84,6.450217625580863
H5-1,912.9,6.817721156278156
H5-2,771.09,6.6491011235407
H5-3,686.37,6.532872720751696
H6-1,617.5,6.427297191832543
H6-3,1048.24,6.955821371551176
H7-2,796.01,6.6808672257629445
H7-3,631.23,6.449253251993195
H8-1,654.1,6.48478789573783
H8-2,765.48,6.641808605342618
H8-3,577.68,6.36074964776139
H9-1,878.7,6.779580940258629
H9-2,545.45,6.303442812122682
H9-3,637.97,6.459857504918618
